name, "Случайный рельеф"
description, "Хаотичное дно — лучи мечутся между холмами"

x_max, 7000
z_max, 1200

source_x, 0
source_z, 100

receiver_x, 2900
receiver_z, 600
receiver_radius, 50

fan_count, 15
fan_spread, 14

ds, 3
alpha, 0.00008
eta_bottom, 0.65
eta_surface, 0.85

[profile]
0,    1540
300,  1530
600,  1515
900,  1505
1200, 1500

[bottom]
0,    1100
400,  900
900,  1050
1400, 700
1900, 950
2400, 400
2900, 750
3300, 500
3800, 850
4300, 350
4800, 700
5300, 500
5800, 900
6300, 700
6800, 1050
7000, 1100
